"Exp","DayOfImaging","Watering.Regime","Mean","NSFTV.ID"
"E2",0,"Control",18636,"NSFTV_642"
"E2",0,"Low water",13875,"NSFTV_642"
"E2",1,"Control",22178,"NSFTV_642"
"E2",1,"Low water",15808,"NSFTV_642"
"E2",2,"Control",27450,"NSFTV_642"
"E2",2,"Low water",22668,"NSFTV_642"
"E2",3,"Control",32713,"NSFTV_642"
"E2",3,"Low water",24827,"NSFTV_642"
"E2",4,"Control",37932,"NSFTV_642"
"E2",4,"Low water",31018,"NSFTV_642"
"E2",5,"Control",53375,"NSFTV_642"
"E2",5,"Low water",41328,"NSFTV_642"
"E2",6,"Control",63666,"NSFTV_642"
"E1",9,"Low water",69438,"NSFTV_642"
"E1",10,"Control",100519,"NSFTV_642"
"E1",10,"Low water",84806,"NSFTV_642"
"E1",11,"Control",115586,"NSFTV_642"
"E1",11,"Low water",94123,"NSFTV_642"
"E1",12,"Control",139804,"NSFTV_642"
"E1",12,"Low water",109489,"NSFTV_642"
"E1",13,"Control",173205,"NSFTV_642"
"E1",13,"Low water",127907,"NSFTV_642"
"E1",14,"Control",196953,"NSFTV_642"
"E1",14,"Low water",144372,"NSFTV_642"
"E1",15,"Control",239377,"NSFTV_642"
"E1",15,"Low water",165900,"NSFTV_642"
"E1",16,"Control",266929,"NSFTV_642"
"E1",16,"Low water",170818,"NSFTV_642"
"E1",17,"Control",315759,"NSFTV_642"
"E1",17,"Low water",185199,"NSFTV_642"
"E1",18,"Control",371341,"NSFTV_642"
"E1",18,"Low water",191014,"NSFTV_642"
"E1",19,"Control",424782,"NSFTV_642"
"E1",19,"Low water",200577,"NSFTV_642"
"E1",20,"Control",472302,"NSFTV_642"
"E1",20,"Low water",199763,"NSFTV_642"
"E1",0,"Control",11228,"NSFTV_642"
"E1",0,"Low water",12031,"NSFTV_642"
"E1",1,"Control",12375,"NSFTV_642"
"E1",1,"Low water",14181,"NSFTV_642"
"E1",2,"Control",16564,"NSFTV_642"
"E1",2,"Low water",16611,"NSFTV_642"
"E1",3,"Control",22955,"NSFTV_642"
"E1",3,"Low water",21958,"NSFTV_642"
"E1",4,"Control",26395,"NSFTV_642"
"E1",4,"Low water",23837,"NSFTV_642"
"E1",5,"Control",32302,"NSFTV_642"
"E1",5,"Low water",29602,"NSFTV_642"
"E2",10,"Low water",88511,"NSFTV_642"
"E2",11,"Control",149187,"NSFTV_642"
"E2",11,"Low water",96098,"NSFTV_642"
"E2",12,"Control",169965,"NSFTV_642"
"E2",12,"Low water",107257,"NSFTV_642"
"E2",6,"Low water",50092,"NSFTV_642"
"E2",7,"Control",78560,"NSFTV_642"
"E2",7,"Low water",60700,"NSFTV_642"
"E2",8,"Control",92957,"NSFTV_642"
"E2",8,"Low water",71529,"NSFTV_642"
"E2",9,"Control",114259,"NSFTV_642"
"E2",9,"Low water",82360,"NSFTV_642"
"E2",10,"Control",134207,"NSFTV_642"
"E2",17,"Control",343512,"NSFTV_642"
"E2",17,"Low water",155882,"NSFTV_642"
"E3",18,"Low water",170907,"NSFTV_642"
"E3",19,"Control",419383,"NSFTV_642"
"E3",19,"Low water",179868,"NSFTV_642"
"E2",13,"Control",202671,"NSFTV_642"
"E2",13,"Low water",113463,"NSFTV_642"
"E2",14,"Control",228759,"NSFTV_642"
"E2",14,"Low water",124482,"NSFTV_642"
"E2",15,"Control",261331,"NSFTV_642"
"E2",15,"Low water",136457,"NSFTV_642"
"E2",16,"Control",294846,"NSFTV_642"
"E2",16,"Low water",145357,"NSFTV_642"
"E3",17,"Low water",165476,"NSFTV_642"
"E3",18,"Control",352011,"NSFTV_642"
"E3",20,"Low water",189092,"NSFTV_642"
"E3",21,"Control",544802,"NSFTV_642"
"E3",21,"Low water",194447,"NSFTV_642"
"E3",20,"Control",493430,"NSFTV_642"
"E3",16,"Control",261918,"NSFTV_642"
"E3",16,"Low water",162091,"NSFTV_642"
"E3",17,"Control",296084,"NSFTV_642"
"E3",15,"Low water",158261,"NSFTV_642"
"E3",22,"Control",605277,"NSFTV_642"
"E3",22,"Low water",196545,"NSFTV_642"
"E2",23,"Control",231001,"NSFTV_641"
"E2",21,"Control",175087,"NSFTV_641"
"E2",22,"Control",200792,"NSFTV_641"
"E2",22,"Low water",55643,"NSFTV_641"
"E2",15,"Low water",35070,"NSFTV_641"
"E2",16,"Control",90208,"NSFTV_641"
"E2",21,"Low water",56026,"NSFTV_641"
"E2",15,"Control",73378,"NSFTV_641"
"E2",17,"Low water",40085,"NSFTV_641"
"E2",18,"Control",124187,"NSFTV_641"
"E2",16,"Low water",35853,"NSFTV_641"
"E2",17,"Control",108814,"NSFTV_641"
"E2",19,"Low water",53025,"NSFTV_641"
"E2",20,"Control",153924,"NSFTV_641"
"E2",20,"Low water",53577,"NSFTV_641"
"E2",0,"Control",6580,"NSFTV_641"
"E2",0,"Low water",6711,"NSFTV_641"
"E2",1,"Control",9471,"NSFTV_641"
"E2",1,"Low water",8297,"NSFTV_641"
"E2",2,"Control",12188,"NSFTV_641"
"E2",2,"Low water",10498,"NSFTV_641"
"E2",3,"Control",13325,"NSFTV_641"
"E2",3,"Low water",11981,"NSFTV_641"
"E2",18,"Low water",45422,"NSFTV_641"
"E2",19,"Control",135042,"NSFTV_641"
"E2",11,"Low water",31949,"NSFTV_641"
"E2",12,"Control",58519,"NSFTV_641"
"E2",12,"Low water",32655,"NSFTV_641"
"E2",13,"Control",65514,"NSFTV_641"
